X,Y,OBJECTID,PROPERTY_ID,HUB_NAME_TEXT,SERVICING_SITE_NAME_TEXT,PROJECT_MANAGER_NAME_TEXT,PROPERTY_NAME_TEXT,ADDRESS_LINE1_TEXT,ADDRESS_LINE2_TEXT,AUTOMATIC_GEOCODE_IND,CONGRESSIONAL_DISTRICT_CODE,PLACED_BASE_CITY_NAME_TEXT,TOTAL_ASSISTED_UNIT_COUNT,TOTAL_UNIT_COUNT,PROPERTY_ON_SITE_PHONE_NUMBER,PROPERTY_CATEGORY_NAME,CLIENT_GROUP_CODE,CLIENT_GROUP_NAME,CLIENT_GROUP_TYPE,REAC_LAST_INSPECTION_ID,REAC_LAST_INSPECTION_SCORE,FASS_LAST_PERFORMANCE_VALUE,FASS_LST_TOT_MGMT_COND_CNT,FASS_LAST_REFERRED_TO_CODE,IS_AFS_REQUIRED_IND,AFS_FISCAL_YR_END_DATE,HAS_ACTIVE_FINANCING_IND,PRIMARY_FINANCING_TYPE,IS_ALL_FINANCING_PIPELINE_IND,IS_ALL_CONTRACT_PIPELINE_IND,IS_UNDER_MANAGEMENT_IND,HAS_SERVICE_AGREEMENT_IND,HAS_USE_RESTRICTION_IND,HAS_ACTIVE_IRP_IND,IS_SERVICE_COORDINATOR_IND,PRIMARY_FHA_NUMBER,ASSOCIATED_FHA_NUMBER,ASSOCIATED_CONTRACT_NUMBER,TROUBLED_CODE,OPIIS_RISK_CATEGORY,OPIIS_SIZE_CATEGORY,OPIIS_INT_RISK_SCORE,IS_ACTIVE_DEC_CASE_IND,WAS_EVER_DEC_CASE_IND,IS_INSURED_IND,WAS_EVER_INSURED_IND,IS_202_811_IND,WAS_EVER_202_811_IND,IS_HUD_HELD_IND,IS_HUD_OWNED_IND,IS_FLEXIBLE_SUBSIDY_IND,IS_HOSPITAL_IND,IS_NURSING_HOME_IND,IS_BOARD_AND_CARE_IND,IS_ASSISTED_LIVING_IND,IS_REFINANCED_IND,IS_221D3_IND,IS_221D4_IND,IS_236_IND,IS_IN_DEFAULT_DELINQUENT_IND,IS_NON_INSURED_IND,IS_BMIR_IND,IS_RISK_SHARING_IND,IS_MIP_IND,IS_CO_INSURED_IND,IS_SUBSIDIZED_IND,WAS_EVER_SUBSIDIZED_IND,HAS_ACTIVE_ASSISTANCE_IND,WAS_EVER_ASSISTED_IND,IS_ACC_OLD_IND,IS_ACC_PERFORMANCE_BASED_IND,IS_SEC8_IND,IS_PAC_IND,IS_PRAC_IND,IS_RENT_SUPPLEMENT_IND,IS_SECTION_236_RAP_IND,IS_SEC8_202_IND,IS_SEC8_FMHA_515_IND,IS_SEC8_STATE_AGENCY_HFA_IND,IS_SEC8_LMSA_IND,IS_SEC8_PRPRTY_DISPOSITION_IND,IS_SEC8_PRESERVATION_IND,IS_SEC8_OTHR_NW_CNSTRCTION_IND,IS_SEC8_OTHER_SUB_REHAB_IND,IS_PENSION_FUND_IND,IS_PAC_202_IND,IS_PAC_811_IND,IS_PRAC_202_IND,IS_PRAC_811_IND,HAS_FULL_DEBT_RESTRUCTURE_IND,LAST_CRITICAL_DATE_DESC,OAHP_PROJECT_RECOMMENDATION_TX,OAHP_PROCESSING_TYPE,IS_ON_WATCH_LIST_IND,IS_GREEN_RETROFIT_IND,IS_202_DIRECT_LOAN_IND,IS_202_CAPITAL_ADVANCE_IND,IS_811_CAPITAL_ADVANCE_IND,ENERGY_PERFORMANCE_CONTRCT_IND,IS_SEC8_RAD_DEMO_CONV_IND,FINANCIAL_STMNT_REQ_IND,CONTRACT1,CONTRACT2,CONTRACT_COUNT,UNITS1,UNITS2,MAXIMUM_CONTRACT_UNIT_COUNT,PROGRAM_TYPE1,PROGRAM_TYPE2,EXPIRATION_DATE1,EXPIRATION_DATE2,FHA_NUM1,FHA_NUM2,SOACODE1,SOACODE2,SOA_NAME1,SOA_NAME2,TAXCREDIT1,TAXCREDIT2,FHA_COUNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,DPVACT,DPVNOST,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PRC9,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,CAT_LATEST_MROC_SCORE_COLOR,CAT_LTST_INTGRTD_RSK_SCORE_CAT,MTR_LATEST_DSCR,FASS_LAST_AFS_CLOSED_DATE,FASS_LAST_REPORTING_END_DT,FULL_DEBT_RESTRUCTURE_DATE,LAST_CRITICAL_DATE,NGHBRHD_NTWRK_EST_DATE,OCCUPANCY_DATE,OPIIS_RISK_CATEGORY_CHANGE_DT,REAC_LAST_INSPECTION_DATE,TROUBLED_STATUS_UPDATE_DATE,WATCH_LIST_DATE,DEMO_RESTRUCTURE_CLOSING_DATE,MARK_TO_MARKET_RESTRUCTURE_DT,REAC_LAST_INSPCT_RELEASE_DATE,LOAN_MATURITY_DATE
-122.384258,40.614119,3001,800002613,San Francisco,Sacramento,SUSAN A RABORN,Tree House Senior Apartments,4500 ALDER ST,,Y,01,Redding,61,62,(530)246-1086,202/811,WAH,Wholly Elderly Housekeeping,Elderly,302059,98  b,80 - Greennull,0,None,Y,06/30,Y,202/811,N,N,Y,Y,Y,N,Y,,136EE011,CA30S941003,N,Low,High-Medium,0,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,,,,N,N,N,Y,N,N,N,Y,CA30S941003,,1,61,0,61,PRAC/202,,,,136EE011,,ZPE,,202 Capital Advance for Elderly,,N,,1,06,Shasta,089,010704,1,1000,Shasta,089,92568,Redding CCD,59920,REDDING,,,6690,"Redding, CA MSA",39820,"Redding, CA Metropolitan Statistical Area",99999,,1,0,0601,2958,,,,,4500 Alder St,,Redding,CA,96003,2443,,96003,99,1,96003244399,H,,,,0,,,N,,100% Overall probable correctness,40.614114,-122.384244,S,,R,U,null Street-Level Rooftop null,06089,0659920,06089010704,060890107041,,Green,,27SEP2013,30JUN2013,        .,        .,        .,21FEB1997,12AUG2008,30JUL2008,27AUG2013,        .,        .,        .,06AUG2008,
-118.221277,34.121789,3002,800002615,Los Angeles,Los Angeles,DEBRA MARTEL,TRES LOMAS APARTMENTS,4343-49 TOLAND WAY,,Y,34,Los Angeles,45,46,,Subsidized - Previously Insured,WAH,Wholly Elderly Housekeeping,Elderly,384113,76  b,Not Assessed,0,MFH,N,12/31,N,,N,N,Y,N,N,N,Y,,,CA160002023,N,Low,,8,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Date Action Other than Closing Occurred,Ineligible for OMHAR - Rents Below or Equal to Market,Full Debt Restr,N,N,N,N,N,N,N,N,CA160002023,,1,45,0,45,Sec 8 NC,,,,,,,,,,,,,06,Los Angeles,037,186201,1,1008,Los Angeles,037,91750,Los Angeles,44000,LOS ANGELES,,,4480,"Los Angeles-Long Beach, CA PMSA",31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",99999,,1,0,0634,2118,,,,,4343 Toland Way,,Los Angeles,CA,90041,3455,,90041,99,1,90041345599,H,,,,1,,,A,,90% Overall probable correctness,34.121784,-118.221265,S,,R,U,null Street-Level Rooftop null,06037,0644000,06037186201,060371862011,,Green,,30JUN2004,31DEC2002,        .,26SEP2001,        .,13JUL1979,17SEP2007,20AUG2012,02MAY2013,        .,        .,        .,23AUG2012,
-119.726268,34.426079,3003,800002194,Los Angeles,Los Angeles,WANDA FLEMING,PILGRIM TERRACE,649 PILGRIM TERRACE DR,,Y,24,Santa Barbara,83,84,805 682-3618,202/811,WAH,Wholly Elderly Housekeeping,Elderly,370933,87  b,82 - Greennull,0,,Y,06/30,Y,202/811,N,N,Y,N,N,N,Y,,122EH063,CA16T781037,N,Low,High-Medium,5,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,N,N,N,N,N,Y,CA16T781037,,1,83,0,83,202/8 NC,,,,122EH063,,ZPF,,202/8 Direct Loan/ Elderly-Handicapped,,N,,1,06,Santa Barbara,083,001304,1,1001,Santa Barbara,083,92890,Santa Barbara,69070,SANTA BARBARA,,,7480,"Santa Barbara-Santa Maria-Lompoc, CA MSA",42200,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",99999,,1,0,0624,3348,,,,,649 Pilgrim Terrace Dr,,Santa Barbara,CA,93101,3960,,93101,49,5,93101396049,S,,,,0,,,,,100% Overall probable correctness,34.426074,-119.726256,S,,R,U,null Street-Level Rooftop null,06083,0669070,06083001304,060830013041,,Green,1.045000,        .,30JUN2013,        .,        .,06AUG2010,07SEP1982,01OCT2007,20JAN2012,01JAN1900,        .,        .,        .,25JAN2012,2022-12-01T00:00:00.000Z
-117.90412,33.984617,3004,800002339,Los Angeles,Los Angeles,JAMEEL E HILL,ROWLAND HEIGHTS APTS,1945 BATSON AVENUE,,Y,39,Rowland Heights,0,144,,Subsidized - Previously Insured,FAM,Indv. families - not eld/ handicap,Family,89519,49  cnull,87 - Greennull,0,,Y,12/31,N,,N,N,N,Y,Y,Y,N,,,,P,Moderate,,16,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,N,N,N,N,N,Y,,,,,,,,,,,,,,,,,,,,06,Los Angeles,037,408724,1,1006,Los Angeles,037,90810,East San Gabriel Valley,63218,ROWLAND HEIGHTS,,,4480,"Los Angeles-Long Beach, CA PMSA",31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",99999,,1,0,0639,3126,,,,,1945 Batson Ave,,Rowland Heights,CA,91748,3458,,91748,99,3,91748345899,H,,,,0,,,N,,100% Overall probable correctness,33.984612,-117.904108,S,,R,U,null Street-Level Rooftop null,06037,0663218,06037408724,060374087241,,Yellow,2.533000,        .,31DEC2013,        .,        .,        .,30AUG1975,26MAR2012,16MAR2000,25SEP2013,        .,        .,        .,23MAR2000,
-117.976837,34.143099,3005,800002345,Los Angeles,Los Angeles,SHUNTAI HARRIS,ROYAL VISTA TERRACE,1310 ROYAL OAKS DR,,Y,32,Duarte,74,75,,202/811,WAH,Wholly Elderly Housekeeping,Elderly,370941,95  b,79 - Greennull,0,None,Y,09/30,Y,202/811,N,N,Y,N,N,N,Y,,122EH059,CA16T781033,P,Low,High-Medium,2,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,N,N,N,N,N,Y,CA16T781033,,1,74,0,74,202/8 NC,,,,122EH059,,ZPF,,202/8 Direct Loan/ Elderly-Handicapped,,N,,1,06,Los Angeles,037,430101,1,1020,Los Angeles,037,93510,Upper San Gabriel Valley,19990,DUARTE,,,4480,"Los Angeles-Long Beach, CA PMSA",31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",99999,,1,0,0632,1038,,,,,1310 Royal Oaks Dr,,Duarte,CA,91010,1718,,91010,99,4,91010171899,H,,,,0,,,N,,100% Overall probable correctness,34.143094,-117.976825,S,,R,U,null Street-Level Rooftop null,06037,0619990,06037430101,060374301011,,Green,1.225000,23DEC2013,30SEP2013,        .,        .,01AUG2003,27SEP1982,14SEP2006,12JAN2012,13NOV2013,        .,        .,        .,18JAN2012,2023-09-01T00:00:00.000Z
-122.284855,37.847338,3006,800002481,San Francisco,San Francisco,MARTHA G PICASSO,Sister Thea Bowman Manor,6400 San Pablo AVE,,Y,13,Oakland,55,55,(510) 420-8802,Insured-Subsidized,WAH,Wholly Elderly Housekeeping,Elderly,502294,86  bnull,77 - Greennull,0,,Y,09/30,Y,Insured,N,N,Y,Y,N,N,Y,12111085,12111085,CA39T871011,N,Low,High-Medium,3,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,N,N,N,N,N,Y,CA39T871011,,1,55,0,55,202/8 NC,,,,12111085,,HRI,,223(f) Refi/ Purchase Apts,,N,,1,06,Alameda,001,400800,1,1010,Alameda,001,92230,Oakland,53000,OAKLAND,,,5775,"Oakland, CA PMSA",36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",99999,,1,0,0613,2508,,,,,6400 San Pablo Ave,,Oakland,CA,94608,1274,,94608,99,1,94608127499,H,,,,0,,,N,,100% Overall probable correctness,37.847333,-122.284842,S,,R,U,null Street-Level Rooftop null,06001,0653000,06001400800,060014008001,Green,Green,1.229000,        .,30SEP2013,        .,        .,        .,20JUL1990,21OCT2006,08NOV2013,01JAN1900,        .,        .,        .,14NOV2013,2041-07-01T00:00:00.000Z
-117.114535,32.577543,3007,800002483,Los Angeles,Los Angeles,SHUNTAI HARRIS,ST JAMES PLAZA,1052 9TH ST,,Y,51,Imperial Beach,99,100,,202/811,WAH,Wholly Elderly Housekeeping,Elderly,383301,75  b,64 - Yellow,0,None,Y,09/30,Y,202/811,N,N,Y,Y,N,N,Y,12911088,122EH150,CA16T811002,N,Low,High-Medium,7,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,N,N,N,N,N,Y,CA16T811002,,1,99,0,99,202/8 NC,,,,122EH150,12911088,ZPF,HRI,202/8 Direct Loan/ Elderly-Handicapped,223(f) Refi/ Purchase Apts,N,N,2,06,San Diego,073,010300,4,4010,San Diego,073,92780,San Diego,36294,IMPERIAL BEACH,,,7320,"San Diego, CA MSA",41740,"San Diego-Carlsbad, CA Metropolitan Statistical Area",99999,,1,0,0651,1716,,,,,1052 9th St,,Imperial Beach,CA,91932,2851,,91932,99,2,91932285199,H,,,,0,,,N,,100% Overall probable correctness,32.577538,-117.114523,S,,R,U,null Street-Level Rooftop null,06073,0636294,06073010300,060730103004,,Green,0.935000,28DEC2013,30SEP2013,        .,        .,        .,04SEP1984,23JUL2012,13JUL2012,13NOV2013,        .,        .,        .,18JUL2012,
-121.475765,41.952221,3008,800002621,San Francisco,Las Vegas,CHERYL BORGSTROM,TULEPARK APARTMENTS,466 F St,,Y,null,Tulelake,19,19,541-591-6152,"Subsidized, No HUD Financing",FAM,Indv. families - not eld/ handicap,Family,519507,62  c,,0,,N,12/31,N,,N,N,Y,N,N,N,N,,,CA30R000004,P,Low,,11,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,,,,N,N,N,N,N,N,N,N,CA30R000004,,1,19,0,19,515/8 NC,,,,,,,,,,,,,06,Siskiyou,093,000100,1,1242,Siskiyou,093,93450,Tulelake,80686,TULELAKE (TULE LAKE),,,9999,,99999,,99999,,0,0,06null,3786,,,,,,,TULELAKE,CA,96134,,,96134,66,,,,,,S,,,,,S,Street not found,41.952216,-121.475751,S,,R,R,null Street-Level Rooftop null,06093,0680686,06093000100,060930001001,,Green,,        .,        .,        .,        .,        .,15DEC1981,21OCT2006,16JAN2014,25FEB2014,        .,        .,        .,24JAN2014,
-121.81305,39.738872,3009,800002624,San Francisco,Las Vegas,CHERYL BORGSTROM,TURNING POINT COMMONS,25 VIA LA PAZ,,Y,01,Chico,24,24,(530) 894-0390,"Subsidized, No HUD Financing",FAM,Indv. families - not eld/ handicap,Family,386563,86  cnull,,0,,N,,N,,N,N,Y,N,N,N,N,,,CA30H113026,N,Low,,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,,,,N,N,N,N,N,N,N,N,CA30H113026,,1,24,0,24,HFDA/8 NC,,,,,,,,,,,,,06,Butte,007,000904,3,3004,Butte,007,90470,Chico,13014,CHICO,,,1620,"Chico-Paradise, CA MSA",17020,"Chico, CA Metropolitan Statistical Area",99999,,1,0,0601,0684,,,,,25 Via La Paz,,Chico,CA,95928,4192,,95928,25,4,95928419225,S,,,,0,,,,,100% Overall probable correctness,39.738867,-121.813037,S,,R,U,null Street-Level Rooftop null,06007,0613014,06007000904,060070009043,,Green,,        .,        .,        .,        .,        .,13MAR1984,14SEP2006,24JAN2013,12AUG2013,        .,        .,        .,30JAN2013,
-118.083381,33.961388,3010,800002202,Los Angeles,Los Angeles,WANDA FLEMING,PIONEER GARDENS,"11011 CULTURA STREET,  #B-101",,Y,38,Santa Fe Springs,135,141,562 699-1656,Subsidized - Previously Insured,FAM,Indv. families - not eld/ handicap,Family,515408,99  b,Not Assessed,0,EC,Y,12/31,N,,N,N,Y,Y,Y,N,N,,,CA16M000294,P,Low,,8,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,,,,N,N,N,N,N,N,N,Y,CA16M000294,,1,135,0,135,Preservation,,,,,,,,,,,,,06,Los Angeles,037,502700,2,2040,Los Angeles,037,93730,Whittier,69154,SANTA FE SPRINGS,,,4480,"Los Angeles-Long Beach, CA PMSA",31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",99999,,1,0,0638,3366,,,,,11011 Cultura St Apt B101,,Santa Fe Springs,CA,90670,2302,,90670,21,8,90670230221,H,B101,Apt,,0,,,,,100% Overall probable correctness,33.961383,-118.083369,S,,R,U,null Street-Level Rooftop null,06037,0669154,06037502700,060375027002,,Green,,        .,31DEC2012,        .,        .,        .,        .,06MAR2014,13FEB2014,24SEP2013,        .,        .,        .,25FEB2014,
